date;Market Cap;Volume;Open;Close
28.12.2024;$1.867.708.753.555;$41.498.540.808;$94.332;$95.185
27.12.2024;$1.894.744.251.986;$45.049.342.388;$95.678;$94.332
26.12.2024;$1.966.481.159.354;$33.963.749.856;$99.345;$95.678
25.12.2024;$1.951.173.788.529;$49.169.088.282;$98.696;$99.345
24.12.2024;$1.874.912.975.787;$64.937.790.293;$94.645;$98.696
23.12.2024;$1.884.599.149.192;$44.619.017.105;$95.094;$94.645
22.12.2024;$1.922.768.195.068;$53.058.382.639;$97.203;$95.094
21.12.2024;$1.932.373.308.116;$112.340.864.007;$97.691;$97.203
20.12.2024;$1.937.022.229.972;$100.611.554.887;$97.851;$97.691
19.12.2024;$1.985.284.833.094;$113.692.025.885;$100.356;$97.851
18.12.2024;$2.100.629.850.065;$93.417.826.250;$106.035;$100.356
17.12.2024;$2.097.460.193.711;$115.184.737.759;$106.074;$106.035
16.12.2024;$2.075.487.816.560;$70.645.074.625;$104.722;$106.074
15.12.2024;$2.007.646.386.699;$57.321.924.844;$101.367;$104.722
14.12.2024;$2.005.406.021.236;$78.802.903.279;$101.352;$101.367
13.12.2024;$1.979.166.149.963;$100.092.043.320;$100.001;$101.352
12.12.2024;$2.001.746.436.339;$118.484.957.961;$101.124;$100.001
11.12.2024;$1.913.115.778.728;$125.835.977.743;$96.650;$101.124
10.12.2024;$1.926.047.690.158;$146.846.843.212;$97.354;$96.650
09.12.2024;$2.003.238.967.639;$62.677.764.785;$101.235;$97.354
08.12.2024;$1.974.739.091.621;$61.061.136.200;$99.782;$101.235
07.12.2024;$1.978.389.972.044;$115.812.632.020;$99.974;$99.782
06.12.2024;$1.920.742.551.504;$190.460.293.532;$97.202;$99.974
05.12.2024;$1.957.276.192.604;$98.230.784.298;$98.881;$97.202
04.12.2024;$1.900.922.167.493;$87.935.752.288;$96.032;$98.881
03.12.2024;$1.896.576.914.276;$101.019.861.361;$95.833;$96.032
02.12.2024;$1.925.808.416.478;$49.147.687.433;$97.312;$95.833
01.12.2024;$1.910.022.814.270;$43.580.019.721;$96.513;$97.312
30.11.2024;$1.926.826.079.390;$74.670.031.636;$97.453;$96.513
